MB;MATERIAL;KGS_TENIDOS;KILOS_ACABADOS;VALOR_LOTE_KILO;AR;TAMANO_CLIENTE
1;HCP;20;0;1.263;R;3662.597
1;HCP;20;18.8;0.742;A;3662.597
1;HCP;20;18.8;0.767;A;3662.597
1;HCP;20;19.1;0.973;A;3662.597
1;HCP;20;18.8;1.075;A;3662.597
1;HCP;20;18.7;0.986;A;3662.597
1;HCP;20;19.1;0.986;A;3662.597
1;HCP;20;18.8;1.163;A;3662.597
1;HCP;20;19;1.3;A;3662.597
1;HCP;10;9.2;1.156;A;3662.597
1;HCP;20;18.8;0.865;A;3662.597
1;HCP;20;18.8;1.185;A;3662.597
1;HCP;20;19.2;1.09;A;3662.597
1;HCP;40;0;1.049;A;52.98
1;HCP;20;0;1.443;A;52.98
1;HCP;40;0;0.893;A;52.98
1;HCP;40;0;0.353;A;52.98
1;HCP;20;19.4;0.613;A;3662.597
1;HCP;20;19;0.671;A;3662.597
1;HCP;20;18.9;1.166;A;3662.597
1;HCP;20;18.9;1.166;A;3662.597
1;HCP;20;18.8;1.174;A;3662.597
1;HCP;20;18.7;1.174;A;3662.597
1;HCP;20;0;1.17;A;52.98
1;HCP;10;0;1.734;A;4.883
1;HCP;20;19.1;1.11;A;15.34
1;HCP;40;36;0.775;A;3662.597
1;HCP;10;0;1.128;A;4.883
1;HCP;140;139.6;1.174;A;3662.597
1;HCP;40;39.4;1.288;A;3662.597
1;HCP;20;0;1.331;A;52.98
1;HCP;40;40.2;1.269;A;3662.597
1;HCP;40;39.2;1.269;A;3662.597
1;HCP;100;96.6;1.38;A;3662.597
1;HCP;40;39.4;1.304;A;3662.597
1;HCP;40;39.4;1.304;A;3662.597
1;HCP;40;0;2.106;A;52.98
1;HCP;20;19.2;2.121;A;3662.597
1;HCP;20;19.2;1.958;A;3662.597
1;HCP;20;0;2.101;A;52.98
1;HCP;20;19;1.885;A;3662.597
1;HCP;20;0;2.166;R;3662.597
1;HCP;20;19.4;1.491;A;7.049
1;HCP;20;19;2.853;A;3662.597
1;HCP;20;19.2;0.521;A;3662.597
1;HCP;20;18.9;0.563;A;3662.597
1;HCP;20;19.4;1.131;A;3662.597
1;HCP;20;18.9;1.186;A;3662.597
1;HCP;20;18;1.186;A;3662.597
1;HCP;20;19;1.186;A;3662.597
1;HCP;20;19;0.942;A;3662.597
1;HCP;20;18;1.186;A;3662.597
1;HCP;20;0;3.451;R;3662.597
1;HCP;20;19.2;0.516;A;3662.597
1;HCP;20;19.3;0.523;A;3662.597
1;HCP;20;18.6;1.841;A;3662.597
1;HCP;20;19.1;2.003;A;3662.597
1;HCP;20;19;2.003;A;3662.597
1;HCP;20;18.4;2.003;A;3662.597
1;HCP;20;18.8;1.352;A;7.049
1;HCP;20;19.1;1.566;A;3662.597
1;HCP;20;19.1;1.589;A;3662.597
1;HCP;10;9.3;1.367;A;3662.597
1;HCP;20;19.2;1.071;A;3662.597
1;HCP;40;38.4;1.696;A;3662.597
1;HCP;20;0;1.735;A;52.98
1;HCP;20;0;1.942;R;3662.597
1;HCP;20;19;1.488;A;3662.597
1;HCP;20;19.2;2.116;A;3662.597
1;HCP;20;19.5;1.311;A;3662.597
1;HCP;20;19.6;1.22;A;3662.597
1;HCP;20;19.4;1.328;A;3662.597
1;HCP;40;37.9;1.576;A;3662.597
1;HCP;20;19;1.396;A;3662.597
1;HCP;40;35.7;2.11;A;3662.597
1;HCP;20;19;1.186;A;3662.597
1;HCP;20;18.7;1.186;A;3662.597
1;HCP;20;17.5;1.171;A;3662.597
1;HCP;20;19.1;1.184;A;3662.597
1;HCP;20;13.2;1.184;A;3662.597
1;HCP;20;17.7;1.184;A;3662.597
1;HCP;20;19;1.184;A;3662.597
1;HCP;20;15.4;1.184;A;3662.597
1;HCP;20;17.2;1.184;A;3662.597
1;HCP;20;18.9;1.184;A;3662.597
1;HCP;20;19.1;1.047;A;3662.597
1;HCP;20;18.9;1.047;A;3662.597
1;HCP;20;19;1.227;A;3662.597
1;HCP;20;19;1.036;A;3662.597
1;HCP;20;18.9;1.045;A;3662.597
1;HCP;20;18.9;1.142;A;3662.597
1;HCP;20;19;1.067;A;3662.597
1;HCP;20;19.1;1.096;A;3662.597
1;HCP;20;18.8;1.096;A;3662.597
1;HCP;20;18.9;1.096;A;3662.597
1;HCP;20;19.1;1.096;A;3662.597
1;HCP;20;18.9;1.096;A;3662.597
1;HCP;20;19;1.096;A;3662.597
1;HCP;20;18.4;1.349;A;3662.597
1;HCP;20;19;1.346;A;3662.597
1;HCP;20;0;1.346;R;3662.597
1;HCP;20;18.8;1.494;A;7.049
1;HCP;40;0;1.56;A;52.98
1;HCP;160;0;1.305;A;52.98
1;HCP;20;0;1.739;A;52.98
1;HCP;40;0;1.63;A;52.98
1;HCP;40;0;1.685;A;52.98
1;HCP;40;38.5;1.565;A;3662.597
1;HCP;20;18.2;1.74;A;3662.597
1;HCP;20;19.2;1.362;A;3662.597
1;HCP;20;18.8;1.329;A;3662.597
1;HCP;20;19;1.389;A;3662.597
1;HCP;20;18.9;1.418;A;3662.597
1;HCP;40;39.3;1.949;A;3662.597
1;HCP;20;0;1.429;A;52.98
1;HCP;20;19.6;1.55;A;3662.597
1;HCP;40;38.8;1.668;A;3662.597
1;HCP;40;39.5;1.853;A;3662.597
1;HCP;40;39.6;1.825;A;3662.597
1;HCP;300;291.9;2.09;A;3662.597
1;HCP;20;0;1.365;A;52.98
1;HCP;40;39.3;1.588;A;3662.597
1;HCP;140;136.7;1.43;A;3662.597
1;HCP;40;40.3;1.588;A;3662.597
1;HCP;20;19.6;1.465;A;3662.597
1;HCP;20;19.7;1.435;A;3662.597
1;HCP;20;19.6;1.443;A;3662.597
1;HCP;20;19.7;1.483;A;3662.597
1;HCP;20;19.2;1.445;A;3662.597
1;HCP;20;19.3;1.445;A;3662.597
1;HCP;20;18.3;1.625;A;3662.597
1;HCP;20;19;1.3;A;3662.597
1;HCP;20;19.2;1.386;A;3662.597
1;HCP;20;19.4;1.247;A;3662.597
1;HCP;20;18.4;1.248;A;3662.597
1;HCP;20;19.1;0.948;A;3662.597
1;HCP;20;18.4;1.05;A;3662.597
1;HCP;20;19.3;1.225;A;3662.597
1;HCP;20;18.8;1.275;A;3662.597
1;HCP;20;18.8;1.275;A;3662.597
1;HCP;20;17.3;1.275;A;3662.597
1;HCP;20;19;0.964;A;3662.597
1;HCP;20;18.9;0.892;A;3662.597
1;HCP;20;19.2;0.997;A;3662.597
1;HCP;20;19.2;0.822;A;3662.597
1;HCP;20;18.9;0.8;A;3662.597
1;HCP;20;19.1;0.912;A;3662.597
1;HCP;20;18.9;0.912;A;3662.597
1;HCP;20;18.8;0.912;A;3662.597
1;HCP;20;18.4;0.912;A;3662.597
1;HCP;20;18.7;0.912;A;3662.597
1;HCP;20;19;0.912;A;3662.597
1;HCP;20;19.1;0.912;A;3662.597
1;HCP;20;19;0.912;A;3662.597
1;HCP;20;18.6;0.912;A;3662.597
1;HCP;20;18.7;1.703;A;3662.597
1;HCP;20;19.3;1.492;A;3662.597
1;HCP;20;19.1;1.777;A;3662.597
1;HCP;20;20;1.872;A;15.34
1;HCP;40;36.6;1.385;A;3662.597
1;HCP;20;0;1.904;A;52.98
1;HCP;20;19.3;1.151;A;7.049
1;HCP;40;0;1.019;A;52.98
1;HCP;20;0;1.233;R;52.98
1;HCP;20;18.8;1.81;A;3662.597
1;HCP;20;18.4;1.819;A;3662.597
1;HCP;20;19;0.997;A;3662.597
1;HCP;20;19.1;0.997;A;3662.597
1;HCP;20;17;0.982;A;3662.597
1;HCP;20;19;1.095;A;3662.597
1;HCP;20;18.9;1.095;A;3662.597
1;HCP;20;19.1;0.794;A;3662.597
1;HCP;20;19;1.167;A;3662.597
1;HCP;20;19;0.794;A;3662.597
1;HCP;20;18.8;0.527;A;3662.597
1;HCP;20;18.8;0.53;A;3662.597
1;HCP;20;19.1;0.518;A;3662.597
1;HCP;20;19;1.253;A;3662.597
1;HCP;20;18.5;1.253;A;3662.597
1;HCP;20;19.2;1.253;A;3662.597
1;HCP;20;18.9;1.253;A;3662.597
1;HCP;20;19.4;1.253;A;3662.597
1;HCP;20;19.1;1.253;A;3662.597
1;HCP;20;18.8;0.714;A;3662.597
1;HCP;20;18.9;0.761;A;3662.597
1;HCP;20;17.4;0.652;A;3662.597
1;HCP;20;18.8;0.737;A;3662.597
1;HCP;20;19.1;0.737;A;3662.597
1;HCP;20;18.7;0.737;A;3662.597
1;HCP;20;19.1;1.307;A;15.34
1;HCP;20;19.9;1.607;A;15.34
1;HCP;20;19.3;1.265;A;3662.597
1;HCP;20;19.3;0.961;A;3662.597
1;HCP;20;0;0.916;R;3662.597
1;HCP;20;19.2;1.078;A;3662.597
1;HCP;20;19;1.306;A;3662.597
1;HCP;20;19.2;1.307;A;3662.597
1;HCP;20;19.1;2.4;A;15.34
1;HCP;40;36.1;1.188;A;3662.597
1;HCP;20;18.8;1.02;A;3662.597
1;HCP;20;18.7;1.055;A;3662.597
1;HCP;20;19.1;1.354;A;3662.597
1;HCP;20;19.1;1.354;A;3662.597
1;HCP;20;19.3;1.435;A;3662.597
1;HCP;20;19.1;0.946;A;3662.597
1;HCP;20;19.2;1.459;A;3662.597
1;HCP;20;19;0.913;A;3662.597
1;HCP;20;18.9;0.913;A;3662.597
1;HCP;20;18.6;0.913;A;3662.597
1;HCP;20;19;0.897;A;3662.597
1;HCP;20;18.9;0.911;A;3662.597
1;HCP;20;18.8;0.786;A;3662.597
1;HCP;20;18.9;0.838;A;3662.597
1;HCP;20;18.9;0.793;A;3662.597
1;HCP;20;19;0.793;A;3662.597
1;HCP;20;18.6;0.793;A;3662.597
1;HCP;20;19;0.793;A;3662.597
1;HCP;20;19.1;0.793;A;3662.597
1;HCP;20;17.6;0.793;A;3662.597
1;HCP;20;18.8;0.793;A;3662.597
1;HCP;20;18.7;0.793;A;3662.597
1;HCP;20;19.3;0.793;A;3662.597
1;HCP;20;18.9;1.981;A;3662.597
1;HCP;20;19.3;1.977;A;3662.597
1;HCP;20;19.2;1.933;A;3662.597
1;HCP;20;19.2;1.947;A;3662.597
1;HCP;20;19;2.019;A;3662.597
1;HCP;20;18.6;1.947;A;3662.597
1;HCP;20;0;1.975;R;3662.597
1;HCP;20;18.6;1.947;A;3662.597
1;HCP;20;19;1.947;A;3662.597
1;HCP;20;16.9;1.947;A;3662.597
1;HCP;20;18.4;1.947;A;3662.597
1;HCP;20;19.1;1.947;A;3662.597
1;HCP;20;15.2;1.975;A;3662.597
1;HCP;20;19.2;1.058;A;3662.597
1;HCP;20;19.7;1.064;A;3662.597
1;HCP;20;19.2;1.043;A;3662.597
1;HCP;20;18.6;1.043;A;3662.597
1;HCP;20;19.2;1.056;A;3662.597
1;HCP;20;19;1.038;A;3662.597
1;HCP;20;17.6;1.068;A;3662.597
1;HCP;20;19.1;1.025;A;3662.597
1;HCP;20;19;1.025;A;3662.597
1;HCP;20;17.5;1.025;A;3662.597
1;HCP;20;19.2;1.068;A;3662.597
1;HCP;20;18.2;1.025;A;3662.597
1;HCP;20;19.4;1.068;A;3662.597
1;HCP;20;19.5;1.561;A;7.049
1;HCP;20;0;1.531;A;52.98
1;HCP;20;0;1.4;A;52.98
1;HCP;40;0;1.096;A;52.98
1;HCP;40;0;1.22;A;52.98
1;HCP;40;0;1.487;A;52.98
1;HCP;20;0;1.414;A;52.98
1;HCP;10;0;1.289;A;4.883
1;HCP;20;19.4;1.338;A;15.34
1;HCP;40;0;1.064;A;52.98
1;HCP;20;0;0.953;R;52.98
1;HCP;20;0;1.451;R;1.451
1;HCP;20;0;1.516;A;52.98
1;HCP;20;0;1.361;A;52.98
1;HCP;20;0;2.021;R;3662.597
1;HCP;20;0;2.006;A;52.98
1;HCP;20;19.2;2.036;A;3662.597
1;HCP;20;0;1.451;A;52.98
1;HCP;20;0;1.48;A;52.98
1;HCP;20;18.8;1.284;A;15.34
1;HCP;20;18.6;1.145;A;15.34
1;HCP;40;0;0.984;A;52.98
1;HCP;40;0;1.276;A;52.98
1;HCP;20;18.9;2.857;A;3662.597
1;HCP;20;18.5;3.394;A;3662.597
1;HCP;20;18.8;1.043;A;3662.597
1;HCP;40;0;1.366;A;52.98
1;HCP;20;19.1;2.068;A;3662.597
1;HCP;40;39.9;1.853;A;3662.597
1;HCP;40;39.4;1.825;A;3662.597
1;HCP;20;19.3;1.413;A;3662.597
1;HCP;20;18.8;1.413;A;3662.597
1;HCP;20;18.9;1.051;A;3662.597
1;HCP;20;19;0.932;A;3662.597
1;HCP;10;9.1;1.731;A;3662.597
1;HCP;20;19.1;0.997;A;3662.597
1;HCP;20;18.9;0.997;A;3662.597
1;HCP;20;18.9;0.848;A;3662.597
1;HCP;20;18.9;0.728;A;3662.597
1;HCP;20;19.2;1.949;A;3662.597
1;HCP;20;0;1.949;R;3662.597
1;HCP;20;0;1.949;R;3662.597
1;HCP;20;18.9;1.058;A;3662.597
1;HCP;20;19.4;1.015;A;3662.597
1;HCP;40;0;1.329;A;52.98
1;HCP;40;40.4;0.16;A;0.851
1;HCP;40;38.8;0.16;A;4.009
1;HCP;250;235;0.7;A;3662.597
1;HCP;110;105.8;0.241;A;0.851
1;HCP;40;38.5;0.153;A;3662.597
1;HCP;40;0;0.153;R;3662.597
1;HCP;40;38.5;0.153;A;3662.597
1;HCP;40;38.7;0.153;A;3662.597
1;HCP;40;37.7;0.153;A;3662.597
1;HCP;40;38.9;0.153;A;3662.597
1;HCP;20;19.1;0.132;A;3662.597
1;HCP;40;38.9;0.092;A;3662.597
1;HCP;80;75.8;0.159;A;3662.597
1;HCP;40;38.5;0.149;A;3662.597
1;HCP;80;76.2;0.159;A;3662.597
1;HCP;50;46.5;0.404;A;3662.597
1;HCP;40;37.9;0.495;A;3662.597
1;HCP;180;173.7;0.33;A;3662.597
1;HCP;100;95.6;0.56;A;3662.597
1;HCP;80;73.7;0.538;A;3662.597
1;HCP;40;37.7;0.516;A;3662.597
1;HCP;180;167.4;0.347;A;3662.597
1;HCP;100;94.4;0.583;A;3662.597
1;HCP;180;170.7;0.347;A;3662.597
1;HCP;40;38.3;0.451;A;3662.597
1;HCP;40;0;0.451;R;3662.597
1;HCP;40;37.4;0.451;A;3662.597
1;HCP;40;37.7;0.448;A;3662.597
1;HCP;40;38.9;0.448;A;3662.597
1;HCP;20;19.3;0.51;A;3662.597
1;HCP;40;38.4;0.47;A;3662.597
1;HCP;40;37.5;0.47;A;3662.597
1;HCP;60;56.5;0.667;A;3662.597
1;HCP;40;37.7;0.47;A;3662.597
1;HCP;20;18.7;1.005;A;3662.597
1;HCP;40;37.4;0.867;A;3662.597
1;HCP;20;18.8;1.031;A;3662.597
1;HCP;40;37.2;0.908;A;3662.597
1;HCP;40;37.5;0.885;A;3662.597
1;HCP;40;37.9;0.885;A;3662.597
1;HCP;40;38.6;0.879;A;3662.597
1;HCP;20;19;1.033;A;3662.597
1;HCP;20;18.4;1.023;A;3662.597
1;HCP;20;18.6;1.033;A;3662.597
1;HCP;20;19.1;1.019;A;3662.597
1;HCP;20;18.8;1.036;A;3662.597
1;HCP;20;19.3;0.992;A;3662.597
1;HCP;20;18.5;0.762;A;3662.597
1;HCP;20;18.7;1.009;A;3662.597
1;HCP;20;18.7;0.763;A;3662.597
1;HCP;40;37.3;0.869;A;3662.597
1;HCP;20;0;0.779;R;3662.597
1;HCP;20;0;1.145;R;3662.597
1;HCP;20;0;1.123;R;3662.597
1;HCP;20;18.7;1.123;A;3662.597
1;HCP;20;19;0.822;A;3662.597
1;HCP;20;17.4;1.15;A;3662.597
1;HCP;20;19.1;1.15;A;3662.597
1;HCP;20;18.9;1.243;A;3662.597
1;HCP;20;18.7;1.243;A;3662.597
1;HCP;20;18.7;1.304;A;3662.597
1;HCP;20;18.8;1.263;A;3662.597
1;HCP;20;19;1.053;A;3662.597
1;HCP;20;19.1;1.188;A;3662.597
1;HCP;40;37.9;1.007;A;3662.597
1;HCP;20;18.7;1.141;A;3662.597
1;HCP;20;0;1.184;R;3662.597
1;HCP;20;18.8;1.184;A;3662.597
1;HCP;20;0;1.114;R;3662.597
1;HCP;20;0;1.109;R;3662.597
1;HCP;20;0;0.874;R;3662.597
1;HCP;20;18.4;1.156;A;3662.597
1;HCP;20;18.7;1.156;A;3662.597
1;HCP;20;18.8;0.373;A;3662.597
1;HCP;20;19.2;1.144;A;3662.597
1;HCP;20;18.8;1.212;A;3662.597
1;HCP;20;18.6;1.301;A;3662.597
1;HCP;20;19.1;1.026;A;3662.597
1;HCP;10;9;1.114;A;3662.597
1;HCP;20;18.7;1.115;A;3662.597
1;HCP;20;19.1;1.146;A;3662.597
1;HCP;20;18.8;1.157;A;3662.597
1;HCP;20;19;1.157;A;3662.597
1;HCP;20;19;0.875;A;3662.597
1;HCP;10;9.2;0.938;A;3662.597
1;HCP;20;18.9;0.939;A;3662.597
1;HCP;20;18.9;0.939;A;3662.597
1;HCP;20;0;1.329;R;3662.597
1;HCP;20;18.5;1.357;A;3662.597
1;HCP;20;18.5;1.373;A;3662.597
1;HCP;20;18.7;1.384;A;3662.597
1;HCP;20;19.1;1.384;A;3662.597
1;HCP;20;18.9;1.091;A;3662.597
1;HCP;20;19.1;1.106;A;3662.597
1;HCP;20;0;1.105;R;3662.597
1;HCP;20;0;1.103;R;3662.597
1;HCP;40;38.3;1.043;A;3662.597
1;HCP;20;19.1;1.241;A;3662.597
1;HCP;20;18.8;1.241;A;3662.597
1;HCP;20;18.4;1.241;A;3662.597
1;HCP;40;38.4;1.088;A;3662.597
1;HCP;20;18.8;1.119;A;3662.597
1;HCP;40;38;0.983;A;3662.597
1;HCP;20;19;1.156;A;3662.597
1;HCP;20;18.8;1.196;A;3662.597
1;HCP;20;19.1;1.212;A;3662.597
1;HCP;20;19.4;1.163;A;3662.597
1;HCP;20;18.9;0.792;A;3662.597
1;HCP;20;19.1;0.685;A;3662.597
1;HCP;20;18.7;1.182;A;3662.597
1;HCP;40;0;1.047;R;3662.597
1;HCP;20;0;1.176;R;3662.597
1;HCP;20;19.1;1.175;A;3662.597
1;HCP;20;19.1;0.728;A;3662.597
1;HCP;20;0;0.555;R;3662.597
1;HCP;20;18.8;0.727;A;3662.597
1;HCP;20;19.4;0.724;A;3662.597
1;HCP;20;18.9;0.588;A;3662.597
1;HCP;20;19.4;0.771;A;3662.597
1;HCP;40;37.8;1.056;A;3662.597
1;HCP;20;18.8;0.906;A;3662.597
1;HCP;40;38.5;1.031;A;3662.597
1;HCP;20;17.4;1.203;A;3662.597
1;HCP;40;36.9;1.072;A;3662.597
1;HCP;20;18.7;0.939;A;3662.597
1;HCP;20;18.5;1.129;A;3662.597
1;HCP;20;18.5;1.129;A;3662.597
1;HCP;20;18.6;1.168;A;3662.597
1;HCP;20;19.1;0.737;A;3662.597
1;HCP;40;38.7;0.676;A;3662.597
1;HCP;20;18.7;0.777;A;3662.597
1;HCP;20;18.7;0.776;A;3662.597
1;HCP;40;39.7;0.879;A;3662.597
1;HCP;40;38.1;1.301;A;3662.597
1;HCP;20;19.5;1.073;A;3662.597
1;HCP;40;38.5;0.983;A;3662.597
1;HCP;40;37.7;0.983;A;3662.597
1;HCP;40;39.4;0.983;A;3662.597
1;HCP;20;19.2;1.89;A;3662.597
1;HCP;20;19.4;1.95;A;3662.597
1;HCP;20;18.7;1.95;A;3662.597
1;HCP;40;37.6;1.761;A;3662.597
1;HCP;20;19.4;1.922;A;3662.597
1;HCP;20;19.1;1.642;A;3662.597
1;HCP;20;19.4;1.434;A;3662.597
1;HCP;20;19;1.486;A;3662.597
1;HCP;40;37.9;1.5;A;3662.597
1;HCP;20;18.9;1.634;A;3662.597
1;HCP;20;19.1;1.682;A;3662.597
1;HCP;40;38.1;1.522;A;3662.597
1;HCP;20;19.5;1.267;A;3662.597
1;HCP;20;18.9;1.407;A;3662.597
1;HCP;20;19.1;0.938;A;3662.597
1;HCP;20;18.6;1.214;A;3662.597
1;HCP;20;19.1;1.124;A;3662.597
1;HCP;20;0;1.388;R;3662.597
1;HCP;20;18.9;1.401;A;3662.597
1;HCP;20;19;1.099;A;3662.597
1;HCP;20;19.5;1.419;A;3662.597
1;HCP;20;19.3;1.419;A;3662.597
1;HCP;20;18.4;1.495;A;3662.597
1;HCP;20;19.2;1.519;A;3662.597
1;HCP;20;18.7;1.524;A;3662.597
1;HCP;20;18.9;1.524;A;3662.597
1;HCP;20;0;1.609;R;3662.597
1;HCP;20;19.1;1.464;A;3662.597
1;HCP;20;16.7;1.212;A;3662.597
1;HCP;20;19.3;1.783;A;3662.597
1;HCP;40;38;1.639;A;3662.597
1;HCP;20;18.8;1.84;A;3662.597
1;HCP;20;18.7;1.84;A;3662.597
1;HCP;20;18.8;1.356;A;3662.597
1;HCP;20;19;1.375;A;3662.597
1;HCP;20;19.4;1.079;A;3662.597
1;HCP;20;19;1.18;A;3662.597
1;HCP;20;18.6;1.245;A;3662.597
1;HCP;20;18.9;1.802;A;3662.597
1;HCP;20;18.6;1.926;A;3662.597
1;HCP;40;38.7;1.768;A;3662.597
1;HCP;40;38.2;1.746;A;3662.597
1;HCP;40;39;1.695;A;3662.597
1;HCP;40;37.2;1.73;A;3662.597
1;HCP;20;19.2;1.546;A;3662.597
1;HCP;40;37.2;1.702;A;3662.597
1;HCP;70;63.9;1.911;A;3662.597
1;HCP;40;38.2;1.959;A;3662.597
1;HCP;20;19.8;2.042;A;3662.597
1;HCP;20;19.5;2.05;A;3662.597
1;HCP;20;19.5;2.063;A;3662.597
1;HCP;20;19.4;2.063;A;3662.597
1;HCP;10;9.2;1.693;A;3662.597
1;HCP;20;19.2;1.665;A;3662.597
1;HCP;20;19.2;1.659;A;3662.597
1;HCP;20;19.1;1.66;A;3662.597
1;HCP;20;18.9;1.528;A;3662.597
1;HCP;20;19.2;1.528;A;3662.597
1;HCP;20;18.8;1.528;A;3662.597
1;HCP;20;18.5;1.629;A;3662.597
1;HCP;20;19.1;1.629;A;3662.597
1;HCP;20;19;1.643;A;3662.597
1;HCP;20;18.7;1.643;A;3662.597
1;HCP;20;0;1.316;R;3662.597
1;HCP;20;19.2;1.551;A;3662.597
1;HCP;20;18.9;1.514;A;3662.597
1;HCP;20;0;1.393;R;3662.597
1;HCP;20;19.2;1.015;A;3662.597
1;HCP;20;18.9;1.079;A;3662.597
1;HCP;10;7.7;1.427;A;3662.597
1;HCP;20;18.7;1.428;A;3662.597
1;HCP;20;19.4;1.495;A;3662.597
1;HCP;20;19;1.506;A;3662.597
1;HCP;20;18.6;1.506;A;3662.597
1;HCP;20;18.9;1.376;A;3662.597
1;HCP;40;36.6;1.22;A;3662.597
1;HCP;20;0;1.078;R;3662.597
1;HCP;40;37.3;0.935;A;3662.597
1;HCP;20;18.8;0.824;A;3662.597
1;HCP;20;19;1.02;A;3662.597
1;HCP;20;18.8;1.319;A;3662.597
1;HCP;20;19;0.833;A;3662.597
