Car_Name;N_years;Selling_Price_50_Percent;Present_Price;Kms_Driven;Fuel_Type;Seller_Type;Transmission;Owner
Hero Splender Plus;2;0;0.48;50000;Petrol;Individual;Manual;0
Honda CB Shine;5;0;0.58;30000;Petrol;Individual;Manual;0
Bajaj Discover 100;5;0;0.47;21000;Petrol;Individual;Manual;0
Bajaj Pulsar 150;10;1;0.75;26000;Petrol;Individual;Manual;1
Suzuki Access 125;10;1;0.58;1900;Petrol;Individual;Automatic;0
TVS Wego;8;1;0.52;22000;Petrol;Individual;Automatic;0
Honda CB twister;5;1;0.51;32000;Petrol;Individual;Manual;0
Hero Glamour;5;1;0.57;18000;Petrol;Individual;Manual;0
Hero Super Splendor;13;1;0.57;55000;Petrol;Individual;Manual;0
Bajaj Pulsar 150;10;1;0.75;60000;Petrol;Individual;Manual;0
Bajaj Discover 125;6;1;0.57;25000;Petrol;Individual;Manual;1
Hero Hunk;11;1;0.75;49000;Petrol;Individual;Manual;1
Hero  Ignitor Disc;5;1;0.65;24000;Petrol;Individual;Manual;1
Hero  CBZ Xtreme;10;1;0.787;50000;Petrol;Individual;Manual;0
Bajaj  ct 100;3;0;0.32;35000;Petrol;Individual;Manual;0
Activa 3g;10;1;0.52;500000;Petrol;Individual;Automatic;0
Honda CB twister;8;1;0.51;33000;Petrol;Individual;Manual;0
Bajaj Discover 125;7;1;0.57;35000;Petrol;Individual;Manual;1
Honda CB Shine;11;1;0.58;53000;Petrol;Individual;Manual;0
Bajaj Pulsar 150;12;1;0.75;92233;Petrol;Individual;Manual;0
i20;8;1;6.79;58000;Diesel;Dealer;Manual;1
grand i10;3;0;5.7;28200;Petrol;Dealer;Manual;0
i10;7;0;4.6;53460;Petrol;Dealer;Manual;0
eon;3;0;4.43;28282;Petrol;Dealer;Manual;0
grand i10;2;0;5.7;3493;Petrol;Dealer;Manual;1
xcent;1;0;7.13;12479;Petrol;Dealer;Manual;0
grand i10;3;0;5.7;34797;Petrol;Dealer;Automatic;0
i20;1;0;8.1;3435;Petrol;Dealer;Manual;0
grand i10;3;0;5.7;21125;Diesel;Dealer;Manual;0
i10;6;0;4.6;35775;Petrol;Dealer;Manual;0
elantra;3;0;14.79;43535;Diesel;Dealer;Manual;0
creta;2;0;13.6;22671;Petrol;Dealer;Manual;0
i20;7;1;6.79;31604;Petrol;Dealer;Manual;0
grand i10;1;0;5.7;20114;Petrol;Dealer;Manual;0
verna;6;1;9.4;36100;Petrol;Dealer;Manual;0
eon;2;0;4.43;12500;Petrol;Dealer;Manual;0
eon;2;0;4.43;15000;Petrol;Dealer;Manual;0
verna;4;0;9.4;45078;Petrol;Dealer;Manual;0
verna;6;1;9.4;36000;Petrol;Dealer;Manual;0
eon;1;0;4.43;38488;Petrol;Dealer;Manual;0
i20;5;0;6.79;32000;Petrol;Dealer;Automatic;0
i20;4;0;7.6;77632;Diesel;Dealer;Manual;0
verna;3;0;9.4;61381;Diesel;Dealer;Manual;0
verna;5;0;9.4;36198;Petrol;Dealer;Automatic;0
i10;7;0;4.6;22517;Petrol;Dealer;Manual;0
grand i10;3;0;5.7;24678;Petrol;Dealer;Manual;0
i10;7;0;4.43;57000;Petrol;Dealer;Manual;0
verna;6;0;9.4;60000;Diesel;Dealer;Manual;0
i20;6;1;6.79;52132;Diesel;Dealer;Manual;0
verna;5;0;9.4;45000;Diesel;Dealer;Manual;0
verna;1;0;9.4;15001;Petrol;Dealer;Manual;0
elantra;3;0;14.79;12900;Petrol;Dealer;Automatic;0
grand i10;5;0;5.7;53000;Diesel;Dealer;Manual;0
grand i10;3;0;5.7;4492;Petrol;Dealer;Manual;0
verna;1;0;9.4;15141;Petrol;Dealer;Manual;0
eon;2;0;4.43;11849;Petrol;Dealer;Manual;0
creta;3;0;13.6;68000;Diesel;Dealer;Manual;0
verna;5;0;9.4;60241;Petrol;Dealer;Manual;0
eon;6;1;4.43;23709;Petrol;Dealer;Manual;0
verna;6;0;9.4;32322;Diesel;Dealer;Manual;0
xcent;3;0;7.13;35866;Petrol;Dealer;Manual;1
xcent;4;0;7.13;34000;Petrol;Dealer;Manual;0
i20;2;0;7.6;7000;Petrol;Dealer;Manual;0
verna;5;0;9.4;49000;Diesel;Dealer;Manual;0
verna;6;0;9.4;71000;Diesel;Dealer;Manual;0
i20;6;0;6.79;35000;Petrol;Dealer;Manual;0
verna;3;0;9.4;36000;Petrol;Dealer;Manual;0
i10;5;0;4.6;30000;Petrol;Dealer;Manual;0
i20;2;0;7.6;17000;Petrol;Dealer;Manual;0
creta;2;0;13.6;35934;Diesel;Dealer;Manual;0
city;5;0;9.9;56701;Petrol;Dealer;Manual;0
brio;3;0;6.82;31427;Petrol;Dealer;Automatic;0
city;4;0;9.9;48000;Diesel;Dealer;Manual;0
city;5;0;9.9;54242;Petrol;Dealer;Manual;0
brio;6;0;5.35;53675;Petrol;Dealer;Manual;0
city;2;0;13.6;49562;Petrol;Dealer;Manual;0
city;3;0;13.6;40324;Petrol;Dealer;Manual;0
city;3;0;13.6;25000;Petrol;Dealer;Manual;0
amaze;4;0;7;36054;Petrol;Dealer;Manual;0
city;2;0;13.6;29223;Petrol;Dealer;Manual;0
brio;2;0;5.97;5600;Petrol;Dealer;Manual;0
amaze;3;0;5.8;40023;Petrol;Dealer;Manual;0
jazz;2;0;7.7;16002;Petrol;Dealer;Manual;0
amaze;3;0;7;40026;Petrol;Dealer;Manual;0
jazz;1;0;8.7;21200;Petrol;Dealer;Manual;0
amaze;4;0;7;35000;Petrol;Dealer;Manual;0
city;2;0;9.4;19434;Diesel;Dealer;Manual;0
brio;1;0;5.8;19000;Petrol;Dealer;Manual;0
city;3;0;10;18828;Petrol;Dealer;Manual;0
city;7;1;10;69341;Petrol;Dealer;Manual;0
city;9;1;10;69562;Petrol;Dealer;Manual;0
city;3;0;10;27600;Petrol;Dealer;Manual;0
jazz;8;1;7.5;61203;Petrol;Dealer;Manual;0
brio;4;0;6.8;16500;Petrol;Dealer;Manual;0
city;2;0;13.6;30753;Petrol;Dealer;Automatic;0
city;3;0;13.6;24800;Petrol;Dealer;Manual;0
city;3;0;13.6;21780;Petrol;Dealer;Manual;0
jazz;2;0;8.4;4000;Petrol;Dealer;Manual;0
city;4;1;13.6;40126;Petrol;Dealer;Manual;0
brio;3;0;5.9;14465;Petrol;Dealer;Manual;0
city;12;1;7.6;50456;Petrol;Dealer;Manual;0
city;4;0;14;63000;Diesel;Dealer;Manual;0
city;2;0;11.8;9010;Petrol;Dealer;Manual;0
brio;5;0;5.9;9800;Petrol;Dealer;Manual;0
jazz;2;0;8.5;15059;Petrol;Dealer;Automatic;0
jazz;2;0;7.9;28569;Petrol;Dealer;Manual;0
amaze;3;0;7.5;44000;Petrol;Dealer;Automatic;0
city;3;0;13.6;34000;Petrol;Dealer;Manual;0
city;2;0;13.6;10980;Petrol;Dealer;Manual;0
amaze;4;0;6.4;19000;Petrol;Dealer;Manual;0
brio;3;0;6.1;31427;Petrol;Dealer;Manual;0
jazz;2;0;8.4;12000;Petrol;Dealer;Manual;0
city;8;1;9.9;38000;Petrol;Dealer;Manual;0
amaze;4;0;6.8;33019;Petrol;Dealer;Manual;0
city;3;0;13.09;60076;Diesel;Dealer;Manual;0
city;2;0;11.6;33988;Diesel;Dealer;Manual;0
brio;3;0;5.9;60000;Petrol;Dealer;Manual;0
city;9;1;11;87934;Petrol;Dealer;Manual;0
city;1;0;12.5;9000;Diesel;Dealer;Manual;0
brio;2;0;5.9;5464;Petrol;Dealer;Manual;0
